PLATFORM_NUMBER,time,latitude,longitude,PRES,TEMP,PSAL
,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,3.5,30.083,34.519
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,4.5,30.08,34.518
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,5.5,30.071,34.515
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,6.5,30.037,34.519
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,7.6,29.964,34.518
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,8.5,29.935,34.515
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,9.4,29.919,34.515
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,10.5,29.908,34.512
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,11.5,29.86,34.514
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,12.5,29.821,34.512
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,13.5,29.817,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,14.4,29.815,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,15.5,29.813,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,16.5,29.811,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,17.5,29.81,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,18.4,29.809,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,19.5,29.807,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,25.0,29.801,34.511
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,35.0,29.787,34.515
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,45.1,29.699,34.539
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,54.8,29.386,34.575
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,64.8,28.035,34.752
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,75.0,26.266,35.026
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,84.9,24.109,35.066
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,94.8,21.608,35.111
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,104.9,20.41,35.156
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,115.1,19.872,35.168
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,125.2,19.171,35.174
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,135.3,18.392,35.168
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,145.1,17.703,35.153
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,155.0,16.968,35.148
